Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 0.426 ms (de 10.0.21.1 - Laboratorios, seq=86)
Latência medida: 0.782 ms (de 10.0.11.1 - Biblioteca, seq=86)
Latência medida: 0.426 ms (de 10.0.31.1 - Reitoria, seq=87)
Latência medida: 0.479 ms (de 10.0.21.1 - Laboratorios, seq=87)
Latência medida: 0.922 ms (de 10.0.11.1 - Biblioteca, seq=87)
Latência medida: 0.382 ms (de 10.0.31.1 - Reitoria, seq=88)
Latência medida: 0.411 ms (de 10.0.21.1 - Laboratorios, seq=88)
Latência medida: 0.482 ms (de 10.0.11.1 - Biblioteca, seq=88)
Latência medida: 0.460 ms (de 10.0.31.1 - Reitoria, seq=89)
Latência medida: 0.473 ms (de 10.0.21.1 - Laboratorios, seq=89)
Latência medida: 0.329 ms (de 10.0.11.1 - Biblioteca, seq=89)
Latência medida: 0.356 ms (de 10.0.31.1 - Reitoria, seq=90)
Latência medida: 0.547 ms (de 10.0.21.1 - Laboratorios, seq=90)
Latência medida: 0.292 ms (de 10.0.11.1 - Biblioteca, seq=90)
Latência medida: 0.551 ms (de 10.0.31.1 - Reitoria, seq=91)
Latência medida: 0.493 ms (de 10.0.21.1 - Laboratorios, seq=91)
Latência medida: 0.587 ms (de 10.0.11.1 - Biblioteca, seq=91)
Latência medida: 0.424 ms (de 10.0.31.1 - Reitoria, seq=92)
Latência medida: 0.557 ms (de 10.0.21.1 - Laboratorios, seq=92)
Latência medida: 0.527 ms (de 10.0.11.1 - Biblioteca, seq=92)
Latência medida: 0.726 ms (de 10.0.31.1 - Reitoria, seq=93)
Latência medida: 0.386 ms (de 10.0.21.1 - Laboratorios, seq=93)
Latência medida: 0.566 ms (de 10.0.11.1 - Biblioteca, seq=93)
Latência medida: 0.618 ms (de 10.0.31.1 - Reitoria, seq=94)
Latência medida: 0.510 ms (de 10.0.21.1 - Laboratorios, seq=94)
Latência medida: 0.676 ms (de 10.0.11.1 - Biblioteca, seq=94)
Latência medida: 0.448 ms (de 10.0.31.1 - Reitoria, seq=95)
Latência medida: 0.717 ms (de 10.0.21.1 - Laboratorios, seq=95)
Latência medida: 0.643 ms (de 10.0.11.1 - Biblioteca, seq=95)
Latência medida: 0.610 ms (de 10.0.31.1 - Reitoria, seq=96)
Latência medida: 0.475 ms (de 10.0.21.1 - Laboratorios, seq=96)
Latência medida: 0.445 ms (de 10.0.11.1 - Biblioteca, seq=96)
Latência medida: 0.390 ms (de 10.0.31.1 - Reitoria, seq=97)
Latência medida: 0.601 ms (de 10.0.21.1 - Laboratorios, seq=97)
Latência medida: 0.766 ms (de 10.0.11.1 - Biblioteca, seq=97)
Latência medida: 0.596 ms (de 10.0.31.1 - Reitoria, seq=98)
Latência medida: 0.419 ms (de 10.0.21.1 - Laboratorios, seq=98)
Latência medida: 0.706 ms (de 10.0.11.1 - Biblioteca, seq=98)
Latência medida: 0.427 ms (de 10.0.31.1 - Reitoria, seq=99)
Latência medida: 0.470 ms (de 10.0.21.1 - Laboratorios, seq=99)
Latência medida: 0.647 ms (de 10.0.11.1 - Biblioteca, seq=99)
Latência medida: 0.406 ms (de 10.0.31.1 - Reitoria, seq=100)
Latência medida: 0.255 ms (de 10.0.21.1 - Laboratorios, seq=100)
Latência medida: 0.912 ms (de 10.0.11.1 - Biblioteca, seq=100)
Latência medida: 0.443 ms (de 10.0.31.1 - Reitoria, seq=101)
Latência medida: 0.466 ms (de 10.0.21.1 - Laboratorios, seq=101)
Latência medida: 0.684 ms (de 10.0.11.1 - Biblioteca, seq=101)
Latência medida: 0.499 ms (de 10.0.31.1 - Reitoria, seq=102)
Latência medida: 0.484 ms (de 10.0.21.1 - Laboratorios, seq=102)
Latência medida: 0.910 ms (de 10.0.11.1 - Biblioteca, seq=102)
Latência medida: 0.445 ms (de 10.0.31.1 - Reitoria, seq=103)
Latência medida: 0.378 ms (de 10.0.21.1 - Laboratorios, seq=103)
Latência medida: 0.578 ms (de 10.0.11.1 - Biblioteca, seq=103)
Latência medida: 0.641 ms (de 10.0.31.1 - Reitoria, seq=104)
Latência medida: 0.525 ms (de 10.0.21.1 - Laboratorios, seq=104)
Latência medida: 0.748 ms (de 10.0.11.1 - Biblioteca, seq=104)
Latência medida: 0.640 ms (de 10.0.31.1 - Reitoria, seq=105)
Latência medida: 0.347 ms (de 10.0.21.1 - Laboratorios, seq=105)
Latência medida: 0.625 ms (de 10.0.11.1 - Biblioteca, seq=105)
Latência medida: 0.499 ms (de 10.0.31.1 - Reitoria, seq=106)
