timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784977290.194412,10.0.11.1,Biblioteca,21,1.024
1784977290.197031,10.0.31.1,Reitoria,21,0.804
1784977290.295371,10.0.21.1,Laboratorios,22,0.659
1784977290.305092,10.0.11.1,Biblioteca,22,1.275
1784977290.305902,10.0.31.1,Reitoria,22,0.596
1784977290.401596,10.0.21.1,Laboratorios,23,0.954
1784977290.406834,10.0.11.1,Biblioteca,23,0.653
1784977290.407987,10.0.31.1,Reitoria,23,0.466
1784977290.511040,10.0.21.1,Laboratorios,24,0.842
1784977290.512992,10.0.31.1,Reitoria,24,0.665
1784977290.512391,10.0.11.1,Biblioteca,24,1.073
1784977291.039555,10.0.31.1,Reitoria,0,27093.832
1784977305.564492,10.0.11.1,Biblioteca,0,55.540
1784977311.679924,10.0.31.1,Reitoria,0,56.501
1784977362.853544,10.0.21.1,Laboratorios,0,3.717
1784977362.853807,10.0.31.1,Reitoria,0,3.799
1784977362.854422,10.0.11.1,Biblioteca,1,3.202
1784977362.955114,10.0.31.1,Reitoria,1,0.393
1784977362.955377,10.0.11.1,Biblioteca,2,0.439
1784977362.955267,10.0.21.1,Laboratorios,1,0.352
1784977363.056257,10.0.21.1,Laboratorios,2,0.341
1784977363.058331,10.0.31.1,Reitoria,2,0.248
1784977363.058537,10.0.11.1,Biblioteca,3,0.205
1784977363.158411,10.0.21.1,Laboratorios,3,0.308
1784977363.162432,10.0.11.1,Biblioteca,4,0.321
1784977363.168852,10.0.31.1,Reitoria,3,0.259
1784977363.262384,10.0.21.1,Laboratorios,4,0.991
1784977363.269331,10.0.11.1,Biblioteca,5,0.811
1784977363.276819,10.0.31.1,Reitoria,4,0.740
1784977363.365247,10.0.21.1,Laboratorios,5,1.472
1784977363.374291,10.0.11.1,Biblioteca,6,1.091
1784977363.379194,10.0.31.1,Reitoria,5,0.957
1784977363.468538,10.0.21.1,Laboratorios,6,1.250
1784977363.478682,10.0.11.1,Biblioteca,7,1.463
1784977363.482703,10.0.31.1,Reitoria,6,1.314
1784977363.573962,10.0.21.1,Laboratorios,7,1.207
1784977363.587316,10.0.31.1,Reitoria,7,1.693
1784977363.588379,10.0.11.1,Biblioteca,8,1.270
1784977363.676512,10.0.21.1,Laboratorios,8,1.507
1784977363.691837,10.0.11.1,Biblioteca,9,1.559
1784977363.691467,10.0.31.1,Reitoria,8,1.188
1784977363.782945,10.0.21.1,Laboratorios,9,1.273
1784977363.795861,10.0.31.1,Reitoria,9,1.084
1784977363.797827,10.0.11.1,Biblioteca,10,1.096
1784977363.888945,10.0.21.1,Laboratorios,10,1.366
1784977363.898545,10.0.31.1,Reitoria,10,1.091
1784977363.900099,10.0.11.1,Biblioteca,11,0.762
1784977363.992692,10.0.21.1,Laboratorios,11,1.532
1784977364.001940,10.0.31.1,Reitoria,11,1.180
1784977364.004585,10.0.11.1,Biblioteca,12,0.834
1784977364.099863,10.0.21.1,Laboratorios,12,1.466
1784977364.104244,10.0.31.1,Reitoria,12,0.894
1784977364.106790,10.0.11.1,Biblioteca,13,0.852
1784977364.203181,10.0.21.1,Laboratorios,13,0.676
1784977364.207468,10.0.31.1,Reitoria,13,0.657
1784977364.216104,10.0.11.1,Biblioteca,14,0.928
1784977364.305892,10.0.21.1,Laboratorios,14,0.633
1784977364.309643,10.0.31.1,Reitoria,14,0.709
1784977364.319430,10.0.11.1,Biblioteca,15,1.051
1784977364.417704,10.0.21.1,Laboratorios,15,0.640
1784977364.418864,10.0.31.1,Reitoria,15,0.755
1784977364.430222,10.0.11.1,Biblioteca,16,0.930
1784977364.520328,10.0.21.1,Laboratorios,16,0.989
1784977364.520714,10.0.31.1,Reitoria,16,0.625
1784977364.533133,10.0.11.1,Biblioteca,17,0.952
1784977364.624207,10.0.31.1,Reitoria,17,1.093
